trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
95,long,2311.77,2305.77,2322.55,2322.55,10.78,TP_HIT,12,1.8
96,long,2305.54,2299.54,2327.35,2299.54,-6.00,SL_HIT,8,3.6
97,long,2303.44,2297.44,2323.23,2297.44,-6.00,SL_HIT,197,3.3
98,long,2311.10,2305.10,2371.91,2305.10,-6.00,SL_HIT,1,10.1
99,short,2303.18,2309.18,2291.67,2291.67,11.51,TP_HIT,5,1.9
100,long,2290.18,2290.18,2304.85,2290.18,0.00,SL_HIT,3,2.4
101,short,2292.73,2298.73,2283.32,2298.73,-6.00,SL_HIT,9,1.6
102,short,2297.78,2303.78,2288.59,2303.78,-6.00,SL_HIT,32,1.5
103,long,2306.80,2300.80,2315.88,2315.88,9.07,TP_HIT,6,1.5
104,long,2314.97,2308.97,2333.18,2308.97,-6.00,SL_HIT,30,3.0
105,long,2316.94,2316.94,2337.92,2316.94,0.00,SL_HIT,13,3.5
106,long,2336.37,2336.37,2354.58,2354.58,18.21,TP_HIT,64,3.0
107,long,2358.57,2352.57,2367.77,2367.77,9.20,TP_HIT,3,1.5
108,long,2374.27,2368.27,2383.83,2368.27,-6.00,SL_HIT,23,1.6
109,short,2345.06,2351.06,2335.07,2335.07,9.99,TP_HIT,31,1.7
110,long,2340.62,2340.62,2361.53,2358.53,17.90,MAX_HOLD,288,3.5
111,long,2367.55,2361.55,2388.26,2361.55,-6.00,SL_HIT,41,3.5
112,long,2360.01,2354.01,2395.05,2354.01,-6.00,SL_HIT,1,5.8
113,long,2379.58,2379.58,2391.96,2391.96,12.38,TP_HIT,95,2.1
114,short,2376.16,2382.16,2353.07,2382.16,-6.00,SL_HIT,25,3.8
115,long,2385.65,2379.65,2394.77,2394.77,9.12,TP_HIT,70,1.5
116,long,2407.45,2401.45,2417.51,2417.51,10.07,TP_HIT,3,1.7
117,long,2411.99,2405.99,2430.69,2405.99,-6.00,SL_HIT,8,3.1
118,long,2416.23,2410.23,2434.38,2434.38,18.15,TP_HIT,30,3.0
119,long,2436.24,2430.24,2445.51,2445.51,9.27,TP_HIT,21,1.5
120,long,2444.31,2438.31,2463.75,2438.31,-6.00,SL_HIT,16,3.2
121,long,2428.12,2422.12,2437.82,2422.12,-6.00,SL_HIT,93,1.6
122,short,2416.65,2422.65,2406.33,2422.65,-6.00,SL_HIT,39,1.7
123,long,2423.31,2417.31,2442.49,2417.31,-6.00,SL_HIT,68,3.2
124,short,2363.28,2369.28,2353.06,2369.28,-6.00,SL_HIT,45,1.7
125,short,2341.89,2347.89,2332.34,2332.34,9.55,TP_HIT,24,1.6
126,long,2349.75,2343.75,2359.02,2343.75,-6.00,SL_HIT,154,1.5
127,long,2360.63,2354.63,2370.73,2354.63,-6.00,SL_HIT,3,1.7
128,long,2339.80,2333.80,2350.10,2333.80,-6.00,SL_HIT,14,1.7
129,long,2339.16,2339.16,2351.88,2339.16,0.00,SL_HIT,160,2.1
130,long,2345.95,2339.95,2366.05,2339.95,-6.00,SL_HIT,11,3.4
131,long,2348.63,2342.63,2373.23,2342.63,-6.00,SL_HIT,19,4.1
132,long,2327.05,2321.05,2337.35,2337.35,10.31,TP_HIT,80,1.7
133,long,2343.51,2337.51,2361.92,2337.51,-6.00,SL_HIT,3,3.1
134,long,2342.69,2336.69,2352.27,2352.27,9.58,TP_HIT,19,1.6
135,long,2327.29,2321.29,2337.47,2337.47,10.18,TP_HIT,11,1.7
136,long,2340.58,2334.58,2360.94,2334.58,-6.00,SL_HIT,11,3.4
137,long,2333.35,2333.35,2351.44,2351.44,18.09,TP_HIT,81,3.0
138,long,2362.33,2362.33,2391.70,2362.33,0.00,SL_HIT,78,4.9
139,short,2361.92,2367.92,2352.59,2367.92,-6.00,SL_HIT,17,1.6
140,long,2375.56,2369.56,2387.31,2369.56,-6.00,SL_HIT,30,2.0
141,long,2376.15,2370.15,2395.71,2370.15,-6.00,SL_HIT,44,3.3
142,long,2299.95,2299.95,2319.54,2299.95,0.00,SL_HIT,167,3.3
143,long,2303.15,2297.15,2312.33,2312.33,9.18,TP_HIT,45,1.5
144,long,2313.19,2313.19,2333.66,2333.66,20.46,TP_HIT,208,3.4
145,long,2314.73,2308.73,2337.14,2308.73,-6.00,SL_HIT,16,3.7
146,short,2327.33,2333.33,2307.47,2333.33,-6.00,SL_HIT,8,3.3
147,long,2317.51,2317.51,2340.88,2328.24,10.73,MAX_HOLD,288,3.9
148,short,2339.05,2345.05,2315.71,2345.05,-6.00,SL_HIT,11,3.9
149,long,2356.66,2350.66,2383.15,2350.66,-6.00,SL_HIT,265,4.4
150,long,2332.38,2326.38,2351.94,2326.38,-6.00,SL_HIT,130,3.3
151,short,2322.31,2328.31,2311.73,2311.73,10.58,TP_HIT,123,1.8
152,long,2306.22,2300.22,2316.04,2316.04,9.82,TP_HIT,33,1.6
153,long,2321.15,2321.15,2333.97,2333.97,12.82,TP_HIT,249,2.1
154,short,2330.45,2336.45,2321.40,2326.28,4.17,MAX_HOLD,52,1.5
