trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
102,long,2314.97,2308.97,2333.18,2308.97,-6.00,SL_HIT,30,3.0
103,long,2316.94,2316.94,2337.92,2316.94,0.00,SL_HIT,13,3.5
104,long,2336.37,2336.37,2354.58,2354.58,18.21,TP_HIT,64,3.0
105,long,2358.57,2352.57,2367.77,2367.77,9.20,TP_HIT,3,1.5
106,long,2374.27,2368.27,2383.82,2368.27,-6.00,SL_HIT,23,1.6
107,short,2345.06,2351.06,2335.07,2335.07,9.99,TP_HIT,31,1.7
108,long,2340.62,2340.62,2361.53,2358.53,17.91,MAX_HOLD,288,3.5
109,long,2367.55,2361.55,2388.26,2361.55,-6.00,SL_HIT,41,3.5
110,long,2360.01,2354.01,2395.05,2354.01,-6.00,SL_HIT,1,5.8
111,long,2379.58,2379.58,2391.95,2391.95,12.38,TP_HIT,95,2.1
112,short,2376.16,2382.16,2353.07,2382.16,-6.00,SL_HIT,25,3.8
113,long,2385.65,2379.65,2394.76,2394.76,9.11,TP_HIT,70,1.5
114,long,2407.45,2401.45,2417.51,2417.51,10.07,TP_HIT,3,1.7
115,long,2411.99,2405.99,2430.69,2405.99,-6.00,SL_HIT,8,3.1
116,long,2416.23,2410.23,2434.38,2434.38,18.15,TP_HIT,30,3.0
117,long,2436.24,2430.24,2445.51,2445.51,9.27,TP_HIT,21,1.5
118,long,2444.31,2438.31,2463.75,2438.31,-6.00,SL_HIT,16,3.2
119,long,2428.12,2422.12,2437.82,2422.12,-6.00,SL_HIT,93,1.6
120,short,2416.65,2422.65,2406.33,2422.65,-6.00,SL_HIT,39,1.7
121,long,2423.31,2417.31,2442.49,2417.31,-6.00,SL_HIT,68,3.2
122,long,2361.12,2355.12,2370.14,2355.12,-6.00,SL_HIT,54,1.5
123,long,2333.09,2327.09,2342.43,2342.43,9.34,TP_HIT,41,1.6
124,long,2357.47,2351.47,2366.98,2351.47,-6.00,SL_HIT,48,1.6
