trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
1441,long,1507.74,1501.74,1518.92,1501.74,-6.00,SL_HIT,76,1.9
1442,long,1467.48,1461.48,1478.07,1478.07,10.59,TP_HIT,47,1.8
1443,long,1482.47,1476.47,1491.97,1476.47,-6.00,SL_HIT,134,1.6
1444,long,1481.38,1481.38,1501.01,1501.01,19.63,TP_HIT,97,3.3
1445,short,1514.26,1520.26,1502.48,1502.48,11.78,TP_HIT,247,2.0
1446,long,1499.05,1493.05,1508.46,1508.46,9.41,TP_HIT,41,1.6
1447,long,1502.52,1496.52,1512.93,1506.35,3.83,MAX_HOLD,288,1.7
1448,long,1508.38,1502.38,1521.63,1502.38,-6.00,SL_HIT,170,2.2
1449,long,1484.98,1478.98,1495.01,1495.01,10.03,TP_HIT,142,1.7
1450,short,1486.18,1492.18,1476.82,1492.18,-6.00,SL_HIT,35,1.6
1451,long,1509.53,1503.53,1519.04,1503.53,-6.00,SL_HIT,47,1.6
1452,long,1503.17,1497.17,1512.17,1512.17,9.00,TP_HIT,51,1.5
1453,long,1510.64,1504.64,1531.46,1504.64,-6.00,SL_HIT,249,3.5
1454,short,1461.75,1467.75,1450.90,1467.75,-6.00,SL_HIT,15,1.8
1455,short,1457.17,1463.17,1446.26,1456.19,0.98,MAX_HOLD,288,1.8
1456,long,1461.03,1455.03,1470.66,1455.03,-6.00,SL_HIT,107,1.6
1457,long,1474.59,1468.59,1493.11,1475.07,0.48,MAX_HOLD,288,3.1
1458,long,1470.90,1464.90,1480.38,1480.38,9.48,TP_HIT,241,1.6
1459,long,1519.25,1513.25,1528.39,1516.79,-2.47,MAX_HOLD,76,1.5
